PID,RESPO,SAC_RCBF,VSRL,SPVT (Ours)
52,33,33,32,87
100,32,32,23,88
100,52,65,44,100
100,51,63,45,96
100,48,55,47,100
77,44,56,35,91
100,44,64,35,100
100,29,27,27,100
100,48,56,48,100
42,37,20,28,65
52,39,38,29,100
18,49,56,48,79
100,42,48,33,100
100,40,21,31,100
42,32,43,23,78
100,54,57,53,100
59,48,55,47,88
83,44,61,35,87
100,42,46,40,76
100,54,48,46,81
100,37,46,36,100
100,47,53,46,100
35,57,63,85,54
100,26,33,25,75
100,55,65,47,100
100,56,60,80,83
100,60,60,100,84
100,36,38,34,90
66,42,38,32,58
41,57,63,86,66
71,37,38,36,76
100,39,49,38,85
100,53,57,52,96
100,57,62,54,100
100,53,57,52,100
100,40,35,38,100
64,44,51,43,72
100,27,100,20,98
31,58,48,100,71
79,52,58,51,100
20,24,51,23,43
100,42,48,41,83
100,37,53,26,100
100,33,42,32,100
42,34,33,24,54
100,39,35,38,100
67,37,100,27,64
100,45,51,44,100
100,52,63,42,100
60,58,62,55,100
54,41,36,31,61
100,39,21,29,84
50,38,42,29,91
100,41,47,40,100
39,24,34,22,70
23,45,50,37,52
100,54,100,47,100
100,48,55,47,100
100,30,20,28,100
100,33,32,24,100
23,28,56,26,87
57,40,45,39,65
24,45,62,35,100
78,55,64,50,70
100,44,51,44,100
100,55,66,46,83
100,46,52,45,96
100,49,56,48,80
16,54,59,65,56
89,48,58,39,96
100,57,59,72,100
94,25,44,23,99
17,53,57,53,38
49,51,64,41,67
48,28,51,27,74
35,45,50,34,81
100,35,100,33,85
100,51,32,43,100
13,46,44,37,34
84,60,61,87,63
100,48,55,47,87
14,35,26,25,75
100,43,49,42,85
100,31,53,23,76
100,54,63,46,91
76,52,55,52,78
61,62,58,100,82
100,41,48,40,95
40,38,45,36,100
100,36,24,35,93
77,60,60,100,100
17,40,46,39,49
100,53,41,42,100
39,39,37,38,65
100,62,58,100,100
22,28,49,26,52
16,35,39,34,66
41,39,17,29,70
100,50,53,42,100
69,59,61,83,100
100,36,26,35,100
20,37,41,27,48
82,44,100,34,96
33,53,68,43,74
38,38,100,29,100
73,39,48,30,100
100,49,32,38,97
31,53,43,50,53
87,30,49,28,97
100,53,68,43,89
25,48,55,48,100
85,60,61,88,100
14,25,48,24,48
90,46,63,35,93
45,63,58,100,95
27,40,47,39,81
100,55,64,74,79
100,56,63,72,91
31,54,58,60,52
57,60,60,100,71
100,33,100,23,100
100,35,41,34,100
100,49,55,48,100
80,42,38,41,77
100,40,26,30,100
100,45,47,36,90
100,36,100,26,100
86,52,45,48,69
100,57,63,98,82
91,45,42,35,67
20,52,67,44,78
13,44,40,36,38
70,47,53,46,68
72,33,38,31,100
72,42,41,33,99
100,36,46,34,88
100,55,64,60,100
100,54,38,45,89
100,33,20,31,100
62,60,60,100,100
100,52,63,45,100
100,56,64,50,100
33,56,63,69,100
100,25,31,23,96
100,48,56,47,93
16,28,42,26,62
100,42,53,32,100
82,50,62,43,92
100,30,49,28,100
100,46,55,36,78
100,51,100,40,100
100,39,38,38,95
100,47,55,45,68
64,47,59,39,70
100,56,59,79,100
17,38,46,28,38
48,33,37,25,96
100,47,54,46,100
100,59,61,100,100
100,23,41,21,100
100,61,60,100,90
100,26,53,24,100
68,36,43,35,100
100,40,33,31,100
100,60,59,100,84
100,28,49,27,100
67,41,28,31,100
21,39,47,30,62
100,39,47,30,100
25,58,61,79,100
100,44,59,34,100
100,33,47,24,82
18,46,53,45,88
97,37,30,36,78
29,59,61,78,50
100,29,18,21,71
38,54,57,47,56
100,55,57,62,100
100,46,47,37,100
100,37,40,36,88
24,57,100,100,52
83,62,58,93,99
80,47,50,38,100
100,41,44,30,100
100,62,58,100,100
100,45,53,45,100
100,23,18,21,89
100,54,63,46,87
100,29,100,22,96
100,46,40,38,74
100,41,38,40,76
100,36,38,34,96
