PID,RESPO,SAC_RCBF,VSRL,SPVT (Ours)
100,62,58,100,100
80,38,33,29,89
100,53,47,42,81
100,63,57,100,100
68,48,55,47,100
94,59,61,100,87
73,42,28,33,60
70,44,51,42,84
100,53,51,51,100
100,43,48,42,98
100,47,54,46,86
79,46,58,36,94
18,49,58,40,51
75,53,58,52,71
100,33,21,24,100
95,51,56,50,69
100,56,63,51,100
100,41,47,40,100
22,36,45,34,46
19,38,37,37,43
100,36,22,28,68
100,46,36,38,100
100,46,52,45,96
68,27,21,20,72
100,51,61,42,75
100,51,57,50,100
21,30,52,29,57
73,51,100,45,100
87,51,66,40,99
100,49,56,48,100
100,32,34,23,90
100,32,33,30,95
100,57,58,77,100
100,48,55,47,86
73,56,63,62,98
21,61,59,100,49
100,44,100,35,100
100,46,53,45,92
22,44,59,35,56
100,40,39,30,100
100,26,51,25,87
26,38,37,37,64
100,44,43,34,100
100,56,63,67,95
100,50,54,50,94
100,54,66,46,100
100,43,50,42,100
16,46,25,35,85
100,60,61,99,77
100,35,100,26,90
100,37,25,28,97
100,29,24,21,74
100,51,54,51,96
100,47,58,40,95
100,37,36,35,82
100,45,44,35,76
100,52,57,52,100
15,31,35,30,48
100,40,39,30,100
100,54,59,59,100
100,48,59,40,100
100,29,55,27,100
100,32,46,31,100
100,29,43,27,84
100,48,55,47,100
100,55,60,78,100
100,32,43,30,100
100,60,60,100,94
100,27,39,26,100
73,58,61,100,99
21,56,64,79,61
100,59,61,100,84
100,58,60,88,75
68,53,57,53,68
29,32,26,24,90
100,42,46,41,100
100,41,48,40,92
55,59,61,100,100
100,36,27,27,100
100,35,21,26,100
100,62,58,100,100
100,33,38,31,97
95,60,60,100,68
100,58,62,88,83
17,26,56,24,51
100,53,59,62,100
93,49,55,42,100
30,28,30,26,50
68,58,61,74,100
100,41,35,31,100
100,62,58,100,84
100,58,61,100,100
100,35,35,33,87
100,50,42,41,100
69,42,40,33,56
20,55,58,70,98
100,59,61,74,100
100,33,38,24,100
100,25,36,23,100
100,58,60,100,100
100,29,53,28,100
100,57,62,100,100
20,47,61,38,63
100,43,50,43,66
100,27,19,25,100
87,41,47,39,66
100,37,57,29,100
24,59,61,100,67
89,60,61,100,100
16,57,63,100,34
100,46,53,36,70
21,29,52,27,61
100,27,27,20,85
71,45,40,36,100
100,55,59,69,100
100,44,54,34,72
78,25,60,23,67
83,37,39,28,81
50,25,39,23,63
100,58,59,83,91
23,56,59,76,70
95,52,33,42,91
84,39,45,38,98
51,31,24,30,54
22,25,47,23,64
21,61,60,100,54
14,33,29,24,41
21,42,61,32,96
76,46,52,45,76
23,42,48,41,88
100,30,17,29,93
20,56,59,76,70
53,39,23,28,100
100,51,43,41,100
85,33,15,24,79
100,50,53,42,100
100,35,45,26,100
100,32,39,24,100
100,47,55,46,100
100,46,52,45,88
17,40,47,39,56
100,57,63,49,100
100,35,38,27,100
100,35,38,27,86
100,34,19,25,100
100,42,39,33,65
100,51,63,45,81
100,55,64,51,100
100,39,38,38,100
100,28,56,26,100
70,51,31,40,95
100,48,56,47,100
21,50,34,39,81
93,49,56,48,95
14,57,61,63,44
100,45,54,44,100
70,33,49,31,100
53,35,32,34,100
14,39,28,30,77
21,63,57,100,45
100,57,62,93,100
95,61,59,100,90
100,55,63,48,100
53,38,26,29,55
21,46,53,45,57
53,49,56,49,100
31,32,45,31,100
100,53,67,43,100
19,41,47,40,50
100,23,56,21,100
100,25,35,23,87
81,58,62,100,100
100,45,53,44,100
65,50,56,49,83
100,24,48,22,87
86,42,49,41,95
15,46,63,35,57
20,31,24,30,47
100,42,48,41,81
27,27,28,26,100
100,32,35,31,64
100,58,61,86,100
22,32,21,23,47
100,40,23,31,100
100,59,61,100,98
68,53,58,57,74
81,55,59,73,70
42,53,45,48,79
87,42,45,32,62
100,30,49,28,87
100,38,49,30,100
100,41,44,31,100
100,59,61,100,100
72,34,44,32,100
77,43,50,42,100
28,27,34,25,59
100,28,35,26,96
98,30,57,28,91
68,34,45,25,81
100,37,28,27,100
99,63,57,100,98
97,34,35,24,100
100,42,32,32,86
100,60,60,100,100
100,60,60,100,100
100,48,55,47,82
100,32,44,24,84
16,35,100,26,82
100,37,21,28,100
100,37,50,35,86
23,43,43,33,100
100,35,44,33,100
20,61,59,100,42
100,32,22,23,100
100,43,50,42,76
17,38,47,30,85
100,54,58,61,100
100,46,100,37,83
100,34,25,25,100
63,53,64,44,73
51,48,54,47,100
100,28,15,21,100
100,61,60,99,96
100,30,45,28,83
90,31,62,22,76
61,32,41,24,80
36,61,59,100,86
100,43,51,42,100
100,54,65,50,96
92,33,27,32,67
27,35,38,26,60
51,54,65,50,83
100,33,39,31,100
100,36,33,27,100
89,49,62,40,78
100,36,46,34,97
100,63,58,100,86
15,43,42,33,72
100,37,36,36,100
89,41,47,39,95
21,32,52,31,72
55,44,58,34,68
23,64,56,100,54
100,39,37,38,100
100,55,58,71,100
45,38,26,27,56
76,24,37,22,82
21,25,21,23,77
34,47,55,37,84
100,59,61,100,100
100,43,54,42,69
98,55,61,83,77
76,48,31,39,100
100,26,44,24,95
100,51,100,42,68
100,55,63,83,100
100,33,35,24,100
92,30,38,22,64
100,39,38,38,71
100,58,62,100,100
100,44,51,43,67
100,41,46,40,84
100,45,48,36,100
100,30,49,28,100
100,26,57,24,100
48,28,48,27,57
100,40,100,31,100
53,29,44,28,80
88,43,53,42,70
33,53,57,52,54
100,48,28,38,63
15,53,58,56,96
48,43,50,33,56
100,38,100,29,86
90,25,51,23,100
89,51,55,50,67
100,27,38,26,100
76,42,44,33,62
75,24,32,22,61
100,38,100,29,72
100,24,58,23,88
100,51,55,50,100
100,59,61,100,100
88,48,63,39,84
21,56,58,68,54
100,62,58,100,94
100,48,51,38,100
14,46,52,45,43
100,34,50,33,100
100,49,62,40,100
96,55,58,68,67
100,49,65,40,79
100,39,45,38,89
100,48,55,47,100
31,56,63,71,67
100,46,41,35,100
100,49,56,40,78
100,44,32,34,83
100,46,54,45,91
38,54,66,46,68
100,33,21,25,68
100,40,52,31,100
100,56,60,78,93
100,56,64,49,100
100,55,59,67,100
100,53,67,43,100
20,26,22,24,54
100,34,43,32,100
100,34,45,33,100
100,60,60,100,100
100,36,100,26,94
45,34,43,32,76
100,54,57,56,100
100,45,53,44,92
25,38,100,37,100
100,35,24,34,81
18,39,24,30,50
100,40,54,30,71
100,41,27,30,100
100,46,68,35,100
100,44,55,35,100
100,30,47,28,78
15,60,60,100,66
23,57,63,82,68
28,33,42,31,100
59,47,55,46,57
66,28,30,26,63
100,34,30,24,98
55,46,65,36,80
100,50,54,50,100
100,53,57,45,83
21,30,38,29,72
20,62,58,100,63
100,36,28,34,81
100,40,23,29,100
100,50,52,43,100
100,57,54,100,89
100,55,57,64,100
46,53,59,61,74
100,34,41,32,75
100,41,27,32,100
100,56,61,85,95
100,62,58,100,96
100,40,36,30,97
15,34,34,33,69
100,62,58,100,94
100,52,63,44,100
100,49,64,40,77
100,39,26,29,91
100,45,28,36,100
100,47,62,38,76
100,43,42,33,100
100,55,64,47,75
100,59,62,100,98
89,49,50,41,85
100,45,100,37,100
100,64,56,100,100
100,40,46,39,88
100,30,27,22,97
74,46,100,35,88
100,49,50,41,100
100,31,36,29,100
57,60,60,96,77
66,46,53,45,66
100,36,36,34,100
100,30,44,29,100
28,43,40,33,100
100,38,43,37,100
100,49,42,42,100
60,60,60,100,79
50,34,29,25,70
63,27,51,25,94
100,26,57,24,84
19,38,47,37,90
100,57,58,76,88
100,51,33,44,100
100,58,62,67,100
26,42,52,41,50
100,43,59,34,100
24,41,34,32,66
100,36,48,35,100
100,52,64,44,100
100,33,28,23,71
48,45,53,44,77
24,59,62,100,100
100,59,60,100,100
79,52,56,51,100
73,29,22,21,100
95,46,54,45,91
15,30,24,22,42
58,31,38,30,58
100,29,42,27,87
31,48,56,47,100
19,52,57,51,47
100,41,37,39,100
100,34,40,26,100
100,65,55,100,72
100,35,24,27,100
96,39,35,37,88
100,52,58,51,73
100,50,57,49,100
100,56,61,52,90
100,61,59,100,100
72,59,61,100,68
14,55,64,50,40
86,41,100,31,100
72,47,52,46,100
56,51,63,45,100
33,59,61,74,75
17,33,44,24,46
19,62,58,100,84
100,34,34,33,100
100,36,26,35,69
100,36,36,28,99
100,36,47,34,68
100,46,54,44,96
100,51,44,45,100
100,33,23,25,100
66,54,58,62,90
74,44,100,36,71
100,35,39,27,100
100,32,23,23,96
90,49,63,38,88
100,56,65,49,91
100,40,51,30,97
100,32,27,31,76
61,54,57,56,100
21,33,33,25,95
100,58,62,98,98
16,40,21,31,68
100,59,62,100,79
100,45,26,34,100
100,42,52,41,98
100,50,56,50,87
34,46,36,37,68
81,45,53,35,76
22,40,46,39,78
18,50,54,49,40
100,56,64,49,86
100,55,60,73,78
100,38,43,29,97
100,37,25,28,100
100,51,100,42,100
100,34,41,25,100
100,38,42,37,100
100,37,38,29,82
100,38,50,37,91
17,50,45,42,46
100,40,31,39,100
14,28,34,27,45
100,31,42,24,76
64,58,62,55,63
100,47,54,46,79
21,24,55,22,48
100,37,39,36,100
21,63,57,100,68
100,54,58,63,86
67,65,56,100,79
100,35,23,26,100
100,35,28,26,95
51,55,65,47,76
18,38,48,36,65
21,54,67,44,73
100,59,60,100,100
75,45,51,44,100
62,30,25,22,100
26,47,53,46,100
100,37,47,35,81
100,59,62,100,75
100,58,61,100,100
100,38,44,36,79
31,32,35,31,54
100,49,56,48,73
13,41,48,40,36
16,52,34,46,73
16,50,61,41,50
100,54,59,61,100
100,51,100,41,83
100,24,35,22,100
60,60,60,100,83
79,45,51,44,77
100,39,22,29,100
100,41,47,40,88
100,38,45,36,80
100,45,32,36,100
100,36,31,34,100
100,40,46,38,100
39,29,49,28,57
16,62,58,100,64
100,53,56,52,100
100,58,62,56,91
21,35,62,27,49
100,36,26,27,79
35,24,24,22,52
100,60,61,96,100
100,59,61,100,93
100,27,42,26,100
23,37,22,28,100
50,29,55,27,58
59,57,62,100,90
100,50,64,40,87
33,44,50,34,88
100,35,41,25,100
15,52,62,44,95
100,39,39,37,86
50,32,28,23,91
32,57,61,93,61
100,51,57,50,87
91,41,28,30,90
100,57,63,50,90
100,43,44,34,100
100,45,53,44,100
100,42,45,32,84
100,58,61,100,79
33,58,62,100,89
38,32,33,31,57
100,36,18,26,100
81,33,33,31,75
100,38,22,29,100
18,59,61,87,49
61,44,52,43,71
100,55,59,69,65
93,53,57,53,100
100,38,36,37,83
100,59,63,100,100
25,38,22,28,100
100,56,100,100,78
100,41,26,31,100
100,62,58,100,100
100,59,62,100,78
89,44,46,33,77
100,48,56,48,100
16,46,58,35,83
100,24,56,22,100
55,34,21,33,80
100,52,55,51,100
96,36,34,35,71
56,60,59,100,92
100,44,50,43,100
100,30,44,22,86
100,45,52,44,99
100,42,49,41,69
100,26,56,25,100
100,54,60,71,100
100,53,100,51,100
50,28,52,26,90
15,44,40,33,97
100,43,60,34,97
100,36,49,34,100
100,57,50,100,83
100,41,45,40,100
100,37,48,36,83
100,59,61,97,100
100,29,45,27,100
100,49,54,48,76
100,61,60,100,100
17,42,30,32,68
100,50,56,49,95
100,45,52,44,100
100,41,48,39,79
64,53,56,53,100
18,37,28,35,51
100,34,21,25,100
100,64,56,100,100
91,54,65,51,82
15,43,56,35,73
22,29,46,21,57
100,54,63,45,76
100,54,57,47,88
22,33,34,32,58
40,56,63,78,70
100,36,43,35,100
22,57,63,50,55
46,47,55,46,60
100,42,47,40,100
13,47,65,39,37
24,32,36,30,60
100,35,25,27,75
100,42,24,32,100
41,47,55,46,100
100,48,49,38,100
14,57,62,100,53
100,28,44,26,100
100,45,38,35,96
100,30,57,29,72
67,54,62,52,99
19,59,58,80,47
86,33,23,24,93
100,60,60,100,100
100,37,23,28,100
100,54,59,63,100
22,31,38,30,78
100,52,62,44,100
100,51,56,50,83
100,32,32,22,100
100,50,39,41,100
19,32,52,31,42
46,37,20,28,72
100,57,64,49,75
18,59,61,88,74
54,33,55,31,80
100,48,60,38,100
20,32,44,30,56
100,60,60,100,83
100,57,62,100,98
62,47,52,46,87
100,29,55,27,100
100,28,55,27,91
100,33,26,25,100
64,32,35,31,100
21,31,58,22,65
19,37,27,35,55
36,50,56,49,58
100,42,28,40,100
100,49,62,39,100
100,41,28,32,73
100,43,50,42,87
13,50,56,49,39
56,63,57,100,57
100,37,36,36,100
