PID,RESPO,SAC_RCBF,VSRL,GAN_SPV
21,10,4,8,17
7,8,4,8,17
26,11,4,9,23
9,8,8,8,14
6,5,7,7,17
29,6,4,7,14
6,11,5,9,11
7,10,6,9,11
15,11,5,8,15
7,13,7,8,10
8,8,7,8,11
10,9,4,8,17
5,5,4,8,14
5,7,3,8,11
11,12,4,9,25
11,11,4,10,26
7,6,4,8,14
5,6,4,8,12
10,10,12,8,20
5,5,8,8,9
7,9,3,10,28
11,10,4,10,25
6,12,6,9,15
16,8,11,9,12
10,11,3,7,18
35,9,4,7,15
9,9,6,8,14
10,9,3,7,19
10,10,7,8,19
19,11,4,10,26
6,9,9,8,15
8,10,4,10,27
13,9,3,8,12
5,5,3,9,11
23,10,4,9,26
10,9,5,8,17
8,6,7,7,18
12,8,3,7,19
12,11,3,9,25
7,10,4,8,20
7,6,5,8,17
22,17,4,10,26
13,12,4,10,27
5,5,7,7,8
13,8,3,9,25
11,10,3,9,23
14,8,5,8,17
12,9,4,10,26
7,8,7,7,11
7,8,3,7,19
6,6,6,7,19
7,7,7,9,13
7,8,5,9,13
12,9,5,8,12
9,8,4,10,27
7,6,6,7,18
13,9,4,9,17
5,5,4,8,8
11,8,3,8,20
10,10,7,8,17
6,7,12,8,16
8,10,5,10,21
5,5,3,8,10
5,12,3,8,12
10,12,4,10,25
10,10,6,8,17
7,6,3,8,21
10,10,6,8,18
5,5,5,7,15
6,5,4,9,11
7,17,7,7,15
8,9,6,8,15
7,8,6,9,12
11,9,3,8,23
8,11,4,10,27
13,11,4,7,18
25,6,6,9,13
7,8,6,8,15
12,10,9,8,16
8,8,5,8,12
5,5,3,9,10
9,13,4,10,25
9,8,7,7,14
7,10,4,8,18
17,9,3,7,19
7,7,6,9,12
11,10,6,8,17
11,8,7,8,15
10,11,4,9,23
11,11,4,8,20
11,9,4,9,22
8,8,6,8,14
12,10,3,9,22
5,5,4,7,8
8,10,4,10,25
11,10,4,9,24
7,7,6,9,13
9,8,8,8,12
30,10,4,9,21
11,7,4,8,21
9,11,3,7,20
5,5,5,7,15
7,7,4,8,17
30,5,3,7,15
9,11,5,8,14
7,11,5,7,11
9,8,8,7,16
7,6,6,9,12
12,8,3,8,21
7,8,7,8,12
6,7,4,8,20
19,8,5,9,13
8,8,5,9,16
6,5,4,9,10
7,7,7,8,17
13,11,4,8,19
10,7,3,8,22
9,6,6,7,17
6,8,4,9,11
24,12,15,8,16
5,5,4,8,7
10,9,6,9,17
7,13,7,8,15
6,7,4,8,15
11,10,4,8,21
7,7,8,8,15
11,8,3,8,21
9,11,4,10,19
7,8,5,7,11
12,10,5,9,19
7,12,5,9,13
6,6,4,8,17
13,10,7,8,14
5,5,4,7,13
8,8,7,9,16
10,12,7,8,17
9,9,5,9,17
11,14,4,9,25
8,10,7,9,20
6,5,3,9,9
5,5,3,7,8
9,9,3,8,19
7,7,7,8,15
6,8,6,9,15
7,14,6,9,12
7,8,6,7,12
6,9,6,9,10
8,9,4,8,19
5,4,7,6,7
8,12,4,10,26
8,8,13,8,17
9,9,5,9,20
6,7,7,9,15
8,11,4,10,28
8,7,9,8,12
24,9,3,8,20
10,12,5,8,21
5,5,4,8,6
11,9,3,9,23
5,6,3,8,9
11,8,4,8,21
6,9,10,7,19
7,7,7,9,15
11,8,3,8,20
14,11,3,7,19
5,5,3,7,11
7,6,7,8,18
7,6,4,8,14
11,8,6,9,21
15,9,4,9,21
14,6,4,8,18
11,9,3,9,20
7,7,7,9,11
7,7,9,8,15
5,5,4,7,12
7,10,4,8,20
6,6,5,9,12
7,7,6,8,15
9,12,7,8,16
7,7,6,8,14
6,7,6,8,17
9,11,16,7,16
5,7,3,9,10
10,14,4,9,21
7,9,4,10,24
5,5,4,7,13
7,8,6,9,15
5,6,6,7,17
12,11,6,7,16
5,7,4,8,15
14,9,6,8,14
6,7,6,8,16
24,14,6,8,14
9,11,4,10,26
6,6,7,9,12
8,8,13,8,13
7,8,5,8,12
11,10,5,10,22
27,10,4,9,17
5,8,4,8,14
13,9,4,9,20
7,11,6,7,11
5,5,3,8,9
9,11,7,7,14
7,7,8,8,17
9,10,4,7,17
7,8,3,8,21
21,9,4,8,19
11,9,4,9,24
9,8,7,8,14
6,8,29,9,14
16,10,4,10,26
11,10,3,8,22
7,6,5,9,15
10,10,8,8,17
7,8,7,8,14
10,14,4,10,25
5,8,5,8,15
6,6,5,8,19
7,8,3,8,50
8,10,4,10,26
6,6,6,9,11
9,10,6,8,11
6,5,6,9,9
33,11,4,9,24
7,8,5,8,14
6,7,6,9,13
9,11,4,7,17
10,12,11,9,18
14,6,5,8,15
6,6,4,9,10
9,9,3,8,20
10,9,7,7,16
8,8,4,9,12
9,9,7,8,15
5,5,3,7,16
22,6,5,9,15
6,6,7,9,10
12,10,5,9,22
15,9,9,8,18
6,8,5,9,12
7,12,5,9,11
8,8,7,8,14
9,8,7,8,13
7,7,26,7,15
5,5,4,8,9
9,8,6,8,16
7,7,6,9,11
5,6,4,8,13
17,8,9,7,19
11,11,3,9,18
23,9,5,9,23
14,12,4,8,20
8,6,6,9,16
7,7,8,9,14
7,10,7,8,13
7,8,4,10,27
6,6,5,9,10
5,5,3,8,11
5,9,3,8,11
6,6,3,8,16
5,5,3,8,13
6,8,25,9,14
6,6,5,8,19
7,6,3,8,14
7,8,12,9,14
8,8,7,8,14
7,10,4,10,27
6,7,6,9,13
7,8,7,8,18
5,4,7,6,7
7,9,6,9,12
6,6,5,8,18
6,12,3,7,16
7,8,7,9,12
7,10,5,8,17
11,12,8,8,15
12,8,3,10,22
6,6,6,9,11
19,9,7,8,16
7,6,3,8,13
12,12,3,7,17
6,6,5,7,17
11,12,4,8,20
23,6,5,8,18
9,11,8,8,13
14,13,4,10,25
14,9,5,9,24
22,9,5,8,16
7,7,4,8,18
12,12,3,9,17
7,6,9,9,12
6,6,5,9,10
7,11,7,9,14
16,11,4,9,25
8,9,5,8,18
9,11,8,8,17
5,6,5,7,16
5,5,3,7,14
8,8,7,7,15
11,11,3,9,22
5,5,3,8,11
7,6,5,8,16
5,5,4,8,9
7,6,6,9,14
15,8,7,8,17
6,8,8,8,15
9,10,4,10,25
5,6,3,9,10
6,6,6,9,11
9,11,5,8,15
8,12,4,10,26
15,11,8,7,14
10,10,4,8,21
9,10,12,8,16
10,10,5,8,19
7,11,3,7,19
11,10,4,10,26
8,8,10,8,12
7,7,5,7,12
9,11,5,8,14
10,8,6,8,11
5,5,3,9,10
7,7,8,8,15
8,10,19,8,16
19,9,4,9,26
28,5,15,7,8
7,9,3,8,20
7,9,3,8,20
8,7,9,7,15
9,11,7,9,19
19,9,5,8,14
7,10,3,8,21
7,7,7,9,11
5,5,8,8,8
10,8,4,7,13
8,7,6,9,43
9,8,6,9,14
11,12,4,9,18
6,7,11,8,14
13,8,8,8,11
6,6,6,9,11
12,12,4,9,26
25,7,6,8,13
5,6,3,9,11
12,13,6,9,13
7,8,6,8,15
5,5,4,8,8
5,5,3,8,8
11,12,4,8,19
10,11,5,8,20
7,12,7,8,13
9,8,7,8,15
6,7,3,8,12
5,5,7,7,8
26,5,3,7,15
7,10,3,8,17
7,8,7,8,15
9,8,8,8,15
6,6,6,9,11
10,11,7,8,18
15,11,4,9,21
6,6,4,7,19
5,5,8,8,8
7,8,8,8,13
25,6,4,9,9
5,5,3,8,16
6,8,5,7,18
5,5,5,8,8
5,6,6,7,18
7,6,8,8,17
9,9,6,8,14
10,9,3,8,20
7,7,5,9,13
12,10,4,9,23
7,6,5,8,15
7,7,4,8,18
6,5,7,7,17
5,5,3,9,8
6,6,7,9,10
9,8,8,8,15
10,10,3,7,18
5,5,5,8,16
8,8,7,8,14
11,9,5,9,22
6,7,4,8,21
7,6,4,8,13
7,8,4,10,27
9,14,7,8,16
7,7,6,10,9
12,7,3,8,20
7,9,4,8,20
6,7,5,9,13
7,8,6,8,16
9,13,6,8,16
11,11,4,8,20
5,5,4,7,13
10,10,7,8,19
18,11,5,10,25
11,9,5,9,18
5,5,3,8,9
11,9,3,7,19
10,11,4,9,22
10,9,4,9,21
19,9,6,9,18
7,7,8,9,13
9,9,6,8,12
7,6,5,9,14
7,8,6,8,17
5,6,3,8,14
6,6,6,7,19
7,9,3,8,15
15,11,7,8,17
9,7,6,8,13
22,11,4,9,20
6,6,6,9,11
11,12,4,9,25
34,6,5,8,18
5,5,4,7,14
5,6,5,9,11
9,10,10,7,15
28,11,6,8,16
6,6,5,8,17
6,7,8,8,19
5,6,34,9,10
8,8,7,8,16
7,6,6,8,18
18,10,7,9,15
10,12,4,9,26
8,11,3,8,18
6,5,13,9,7
12,12,4,9,24
11,11,4,8,20
6,7,6,9,13
10,12,4,9,19
5,5,4,7,14
7,7,21,9,15
9,10,6,8,15
5,4,8,6,7
7,6,8,9,15
6,6,9,9,10
26,11,4,7,18
7,12,6,8,14
10,11,4,9,25
8,8,6,8,14
8,9,7,7,15
7,10,5,9,13
5,5,8,7,8
6,6,3,9,11
26,9,6,9,21
7,6,6,8,18
12,10,4,10,26
5,5,3,8,10
10,10,7,8,19
9,11,4,9,24
8,11,6,8,16
7,9,6,9,9
10,11,5,8,21
16,5,4,7,14
9,8,6,8,14
9,11,5,9,19
6,6,5,9,10
16,11,4,9,21
5,5,3,8,12
13,9,3,8,22
15,6,10,7,16
26,8,4,8,15
5,4,6,6,7
6,5,4,9,11
17,9,4,8,17
6,6,6,9,14
8,8,6,8,12
10,13,8,9,18
10,10,5,8,18
9,9,5,9,19
7,12,7,8,16
6,8,9,8,12
10,10,5,9,17
11,10,3,9,22
29,8,4,8,16
10,11,4,9,21
6,8,6,9,13
12,10,5,8,13
8,9,5,9,23
6,5,4,9,11
12,9,5,9,19
10,13,4,9,21
8,9,4,10,27
6,6,4,9,10
5,5,3,8,10
12,10,4,10,26
6,8,6,8,16
5,5,7,6,7
15,10,4,8,18
11,12,4,8,14
7,9,7,8,14
11,10,7,8,18
6,7,6,9,13
11,11,4,9,24
7,10,4,10,21
5,5,4,8,8
9,9,4,9,21
12,14,4,10,21
11,9,3,9,24
10,9,5,9,21
6,6,8,9,10
9,8,6,8,14
6,14,8,9,15
7,7,5,8,15
16,11,3,9,24
12,6,4,9,11
11,12,4,9,23
6,7,7,9,11
7,7,5,9,14
7,7,7,9,10
5,5,3,7,12
6,6,5,8,18
7,8,9,8,16
9,13,3,9,24
19,11,4,9,24
5,7,3,8,12
6,6,5,9,8
6,7,8,9,14
7,6,8,9,14
7,7,6,8,16
16,9,3,7,17
5,8,3,8,11
6,6,7,8,18
12,9,3,9,24
7,12,6,9,11
25,6,4,8,18
7,6,5,8,14
9,7,6,8,15
7,14,7,9,13
5,5,8,8,8
6,7,6,7,19
7,9,7,8,17
21,15,3,8,19
6,5,3,9,10
19,7,4,8,16
5,5,7,7,16
10,10,7,8,17
14,5,4,8,13
5,5,4,8,7
9,11,6,7,14
13,8,4,10,28
10,11,4,9,22
6,6,6,9,10
6,7,3,9,12
11,10,4,10,23
11,9,4,8,17
6,7,7,9,12
5,5,5,7,16
14,8,8,8,14
7,12,6,9,12
8,8,7,7,12
7,6,5,8,14
8,12,3,9,18
8,7,9,8,8
6,7,5,7,19
8,6,4,7,18
12,9,3,8,19
7,7,6,9,16
10,11,4,10,25
9,9,5,9,20
8,10,9,8,11
14,7,3,8,22
11,10,4,10,26
7,12,6,8,11
5,8,4,8,15
6,6,4,9,11
7,7,5,9,15
7,7,6,9,14
9,10,8,8,15
13,8,6,8,16
16,7,5,9,15
10,9,13,8,17
7,12,5,9,12
11,8,3,8,22
17,5,3,8,10
7,7,5,9,15
9,9,6,9,19
6,5,49,9,9
8,9,3,8,20
11,11,4,9,23
9,9,7,8,14
7,9,4,8,19
10,10,4,9,25
10,9,4,8,18
9,11,8,8,13
9,13,4,9,25
7,7,5,9,14
6,6,6,9,10
5,5,4,8,9
6,6,3,9,10
9,9,6,8,16
5,5,3,9,10
6,10,4,7,16
7,8,9,8,12
10,11,7,8,18
6,5,14,9,12
7,8,11,9,12
5,5,6,8,10
12,13,7,8,14
11,11,4,9,26
10,9,7,8,15
11,12,4,9,24
5,5,4,7,14
9,9,4,10,27
7,6,5,8,18
